DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
FBI_SUBPAGES_REPORT,81,82,+1 LINKS
DHS_SUBPAGES_REPORT,86,86,NO CHANGE
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,78,78,NO CHANGE
CDC_SUBPAGES_REPORT,137,137,NO CHANGE
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,119,119,NO CHANGE
US_NAVY_SUBPAGES_REPORT,61,61,NO CHANGE
US_ARMY_SUBPAGES_REPORT,59,59,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
USA_SUBPAGES_REPORT,43,43,NO CHANGE
DEFENSE_SUBPAGES_REPORT,93,93,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,233,233,NO CHANGE
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,135,135,NO CHANGE
TSA_SUBPAGES_REPORT,122,122,NO CHANGE
IRS_SUBPAGES_REPORT,94,94,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,83,83,NO CHANGE
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,186,186,NO CHANGE
JUSTICE_SUBPAGES_REPORT,62,62,NO CHANGE
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,71,71,NO CHANGE
FEDERAL_RESERVE_SUBPAGES_REPORT,216,216,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,39,39,NO CHANGE
FEMA_SUBPAGES_REPORT,170,170,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,114,114,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
US_AIR_FORCE_SUBPAGES_REPORT,151,151,NO CHANGE
DOGE_SUBPAGES_REPORT,8,8,NO CHANGE
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,162,162,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,40,40,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,86,86,NO CHANGE
STATE_SUBPAGES_REPORT,355,355,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
