DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,167,168,+1 LINKS
US_NAVY_SUBPAGES_REPORT,93,93,NO CHANGE
DHS_SUBPAGES_REPORT,95,95,NO CHANGE
DEFENSE_SUBPAGES_REPORT,83,83,NO CHANGE
FEDERAL_RESERVE_SUBPAGES_REPORT,218,218,NO CHANGE
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,84,84,NO CHANGE
JUSTICE_SUBPAGES_REPORT,62,62,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,240,240,NO CHANGE
CDC_SUBPAGES_REPORT,141,141,NO CHANGE
FBI_SUBPAGES_REPORT,96,96,NO CHANGE
IRS_SUBPAGES_REPORT,98,98,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,103,103,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,120,120,NO CHANGE
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,79,79,NO CHANGE
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,128,128,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,69,69,NO CHANGE
US_AIR_FORCE_SUBPAGES_REPORT,152,152,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,87,87,NO CHANGE
US_ARMY_SUBPAGES_REPORT,57,57,NO CHANGE
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,172,172,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,40,40,NO CHANGE
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,144,144,NO CHANGE
TSA_SUBPAGES_REPORT,49,49,NO CHANGE
USA_SUBPAGES_REPORT,44,44,NO CHANGE
STATE_SUBPAGES_REPORT,390,390,NO CHANGE
FEMA_SUBPAGES_REPORT,185,185,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
