DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,83,84,+1 LINKS
DEFENSE_SUBPAGES_REPORT,89,90,+1 LINKS
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,121,120,-1 LINKS
US_AIR_FORCE_SUBPAGES_REPORT,146,148,+2 LINKS
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,79,79,NO CHANGE
DHS_SUBPAGES_REPORT,88,88,NO CHANGE
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,133,133,NO CHANGE
CDC_SUBPAGES_REPORT,136,136,NO CHANGE
FEMA_SUBPAGES_REPORT,174,174,NO CHANGE
USA_SUBPAGES_REPORT,43,43,NO CHANGE
STATE_SUBPAGES_REPORT,384,384,NO CHANGE
IRS_SUBPAGES_REPORT,96,96,NO CHANGE
DOGE_SUBPAGES_REPORT,8,8,NO CHANGE
FEDERAL_RESERVE_SUBPAGES_REPORT,217,217,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,39,39,NO CHANGE
FBI_SUBPAGES_REPORT,96,96,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,82,82,NO CHANGE
TSA_SUBPAGES_REPORT,48,48,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
JUSTICE_SUBPAGES_REPORT,57,57,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,233,233,NO CHANGE
US_ARMY_SUBPAGES_REPORT,57,57,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,85,85,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,113,113,NO CHANGE
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,183,183,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,162,162,NO CHANGE
US_NAVY_SUBPAGES_REPORT,68,68,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,21,21,NO CHANGE
