DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
FEDERAL_RESERVE_SUBPAGES_REPORT,217,218,+1 LINKS
JUSTICE_SUBPAGES_REPORT,61,62,+1 LINKS
DEFENSE_SUBPAGES_REPORT,84,83,-1 LINKS
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,171,170,-1 LINKS
STATE_SUBPAGES_REPORT,389,391,+2 LINKS
US_NAVY_SUBPAGES_REPORT,97,101,+4 LINKS
FEMA_SUBPAGES_REPORT,192,183,-9 LINKS
DHS_SUBPAGES_REPORT,95,95,NO CHANGE
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,83,83,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,240,240,NO CHANGE
CDC_SUBPAGES_REPORT,141,141,NO CHANGE
FBI_SUBPAGES_REPORT,96,96,NO CHANGE
IRS_SUBPAGES_REPORT,98,98,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,103,103,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,121,121,NO CHANGE
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,79,79,NO CHANGE
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,128,128,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,70,70,NO CHANGE
US_AIR_FORCE_SUBPAGES_REPORT,151,151,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,87,87,NO CHANGE
US_ARMY_SUBPAGES_REPORT,57,57,NO CHANGE
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,173,173,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,40,40,NO CHANGE
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,144,144,NO CHANGE
TSA_SUBPAGES_REPORT,49,49,NO CHANGE
USA_SUBPAGES_REPORT,44,44,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
