DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
CDC_SUBPAGES_REPORT,136,137,+1 LINKS
DEFENSE_SUBPAGES_REPORT,84,83,-1 LINKS
DHS_SUBPAGES_REPORT,91,90,-1 LINKS
FEMA_SUBPAGES_REPORT,179,178,-1 LINKS
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,0,-2 LINKS
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,141,139,-2 LINKS
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,80,80,NO CHANGE
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,167,167,NO CHANGE
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,83,83,NO CHANGE
JUSTICE_SUBPAGES_REPORT,56,56,NO CHANGE
FBI_SUBPAGES_REPORT,98,98,NO CHANGE
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,173,173,NO CHANGE
US_NAVY_SUBPAGES_REPORT,90,90,NO CHANGE
US_ARMY_SUBPAGES_REPORT,57,57,NO CHANGE
US_AIR_FORCE_SUBPAGES_REPORT,147,147,NO CHANGE
USA_SUBPAGES_REPORT,43,43,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,113,113,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
FEDERAL_RESERVE_SUBPAGES_REPORT,217,217,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,236,236,NO CHANGE
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,123,123,NO CHANGE
STATE_SUBPAGES_REPORT,372,372,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,18,18,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,93,93,NO CHANGE
TSA_SUBPAGES_REPORT,48,48,NO CHANGE
IRS_SUBPAGES_REPORT,96,96,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,88,88,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,40,40,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
