DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
US_AIR_FORCE_SUBPAGES_REPORT,151,152,+1 LINKS
DEFENSE_SUBPAGES_REPORT,92,93,+1 LINKS
FEDERAL_RESERVE_SUBPAGES_REPORT,217,218,+1 LINKS
IRS_SUBPAGES_REPORT,91,92,+1 LINKS
TSA_SUBPAGES_REPORT,122,121,-1 LINKS
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,93,95,+2 LINKS
STATE_SUBPAGES_REPORT,355,355,NO CHANGE
US_NAVY_SUBPAGES_REPORT,60,60,NO CHANGE
DOGE_SUBPAGES_REPORT,8,8,NO CHANGE
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,136,136,NO CHANGE
USA_SUBPAGES_REPORT,41,41,NO CHANGE
FEMA_SUBPAGES_REPORT,174,174,NO CHANGE
CDC_SUBPAGES_REPORT,140,140,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,115,115,NO CHANGE
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,185,185,NO CHANGE
DHS_SUBPAGES_REPORT,89,89,NO CHANGE
JUSTICE_SUBPAGES_REPORT,61,61,NO CHANGE
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,79,79,NO CHANGE
US_ARMY_SUBPAGES_REPORT,58,58,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,41,41,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,93,93,NO CHANGE
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,83,83,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,81,81,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,233,233,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,40,40,NO CHANGE
FBI_SUBPAGES_REPORT,80,80,NO CHANGE
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,157,157,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
